item	item_desc	qty	lot_no	location	received_date	exp_date
021406704	CT 1342 C AU-B	9910	P170801-01-2-C	S-RB/L6-00070	2017-09-28	2018-03-28
101203101	CT 683 C AU-B (YEC)	4601	K170214-02-2-C	S-RP/L5-00919	2017-09-28	2018-03-28
101204701	CT 682-2A AU-F	163	E170913-01-2-A	S-RH/L4-00449	2017-09-28	2018-03-28
021335602	CT 112 B AU-B	7	G170706-02-2-B	S-RA/L5-00011	2017-09-28	2018-03-28
021413301	CT 678-B-B-2	352	C170908-1-1-B	S-RM/L2-00768	2017-09-28	2018-03-28
021351501	CT 403 B AU-B	530	C161025-01-1-B	S-RM/L6-00728	2017-09-28	2018-03-28
021406704	CT 1342 C AU-B	140	P170313-01-2C	S-RB/L6-00070	2017-09-28	2018-03-28
021413201	CT 678-B-A-2	352	C170908-1-1-A	blank	2017-09-28	2018-03-28
101203401	CT 749 C AU-B	6865	M170302-1-1-C	S-RH/L1-00475	2017-09-28	2018-03-28
101203401	CT 749 C AU-B	3235	M170216-02-1-C	S-RH/L1-00475	2017-09-28	2018-03-28
101203201	CT 749 A AU-B	705	M170216-02-1-A	S-RH/L1-00473	2017-09-28	2018-03-28
101203201	CT 749 A AU-B	9395	M170302-01-1-A	S-RH/L1-00473	2017-09-28	2018-03-28
103573401	CT 1849-5-B	6822	K170914-01M-1-B	S-RB/L2-00104	2017-09-28	2018-03-28
101203001	CT 683 B AU-B (YEC)	3949	K170214-02-2-B	S-RP/L5-00918	2017-09-28	2018-03-28
101203001	CT 683 B AU-B (YEC)	5013	K170302-01-2-B	S-RP/L5-00918	2017-09-28	2018-03-28
101202901	CT 683 A AU-B (YEC)	4524	K170214-02-2-A	S-RP/L5-00917	2017-09-28	2018-03-28
101202901	CT 683 A AU-B (YEC)	4374	K170302-01-2-A	S-RP/L5-00917	2017-09-28	2018-03-28
101203101	CT 683 C AU-B (YEC)	4361	K170302-01-2-C	S-RP/L5-00919	2017-09-28	2018-03-28
105968901	CT 1655-C-YD	21000	F170905-03-1-C	blank	2017-09-28	2018-03-28
105968901	CT 1655-C-YD	16400	F170906-02-1-C	blank	2017-09-28	2018-03-28
105968901	CT 1655-C-YD	16500	F170906-04-1-C	blank	2017-09-28	2018-03-28
105968901	CT 1655-C-YD	16000	F170906-06-1-C	blank	2017-09-28	2018-03-28
105968901	CT 1655-C-YD	16500	F170906-09-1-C	blank	2017-09-28	2018-03-28
105968901	CT 1655-C-YD	16300	F170906-10-1-C	blank	2017-09-28	2018-03-28
105718301	CT 4741-6-A/B/C-PD	13200	J170919-01M-3	blank	2017-09-28	2018-03-28
105718301	CT 4741-6-A/B/C-PD	17300	J170919-02-3	blank	2017-09-28	2018-03-28
105718301	CT 4741-6-A/B/C-PD	15900	J170919-03-3	blank	2017-09-28	2018-03-28
105718301	CT 4741-6-A/B/C-PD	13000	J170919-04-3	blank	2017-09-28	2018-03-28
021585502	CT 2988 A AU-B (WIRE CUT)	50	170926	S-RO/L3-00878	2017-09-28	2018-03-28
021585602	CT 2988 B AU-B (WIRE CUT)	50	170926	S-RN/L2-00826	2017-09-28	2018-03-28
021621501	CT 350-1 A AU-B	4	F170120-01-3-A	S-RE/L1-00296	2017-09-28	2018-03-28
021621601	CT 350-1 B AU-B	3	F170120-01-3-B	S-RE/L1-00297	2017-09-28	2018-03-28
021348401	CT 461#5 AUB	2805	D170907-01-1	S-RG/L4-00389	2017-09-28	2018-03-28
021375501	CT 814 A AU-B	2420	D170105-1-1-A	S-RI/L3-00513	2017-09-28	2018-03-28
021375501	CT 814 A AU-B	580	D170906-1-1-A	S-RI/L3-00513	2017-09-28	2018-03-28
021375301	CT 814 B AU-B	350	D170906-1-1-B	S-RI/L3-00512	2017-09-28	2018-03-28
021374901	CT 814 C AU-B	2143	D170908-1-1-C	S-RI/L3-00511	2017-09-28	2018-03-28
021375101	CT 814 D AU-B	1390	D170906-1-1-D	S-RI/L4-00510	2017-09-28	2018-03-28
105968801	CT 1655-B-YD	8300	F170907-01-1-B	blank	2017-09-28	2018-03-28
105968801	CT 1655-B-YD	16200	F170907-02-1-B	blank	2017-09-28	2018-03-28
105968801	CT 1655-B-YD	16500	F170907-04-1-B	blank	2017-09-28	2018-03-28
105968801	CT 1655-B-YD	16500	F170908-05-1-B	blank	2017-09-28	2018-03-28
105968801	CT 1655-B-YD	15900	F170908-06-1-B	blank	2017-09-28	2018-03-28
105968801	CT 1655-B-YD	14400	F170908-08-1-B	blank	2017-09-28	2018-03-28
105968801	CT 1655-B-YD	16500	F170908-10-1-B	blank	2017-09-28	2018-03-28
105968801	CT 1655-B-YD	16500	F170908-12-1-B	blank	2017-09-28	2018-03-28
105968801	CT 1655-B-YD	16500	F170908-14-1-B	blank	2017-09-28	2018-03-28
105968801	CT 1655-B-YD	17400	F170908-15-1-B	blank	2017-09-28	2018-03-28
105968801	CT 1655-B-YD	16200	F170908-16-1-B	blank	2017-09-28	2018-03-28
104680501	CT 4645-2-A	3000	H170923-01-1-A	blank	2017-09-28	2018-03-28
105014502	CT 4767-2	130000	H170922-04-2	blank	2017-09-28	2018-03-28
105014502	CT 4767-2	130000	H170922-05-2	blank	2017-09-28	2018-03-28
105014502	CT 4767-2	127100	H170923-01-2	blank	2017-09-28	2018-03-28
105014502	CT 4767-2	64300	H170923-02-2	blank	2017-09-28	2018-03-28
101730101	CT 304-2B-F	3254	F3103-1	blank	2017-09-28	2018-03-28
104380701	CONTACT 3590 NI	90000	G170920-04-3	blank	2017-09-28	2018-03-28
104380701	CONTACT 3590 NI	130000	G170920-03-3	blank	2017-09-28	2018-03-28
104380701	CONTACT 3590 NI	130000	G170920-02-3	blank	2017-09-28	2018-03-28
104380701	CONTACT 3590 NI	126600	G170920-01-3	blank	2017-09-28	2018-03-28
104380701	CONTACT 3590 NI	90000	G170920-05-3	blank	2017-09-28	2018-03-28
104058501	CT 4304-2-A.C.E,PIN	4000	C170922-01-1	blank	2017-09-28	2018-03-28
103573301	CT 1849-5-A	7428	K170914-01M-1-A	S-RB/L2-00103	2017-09-28	2018-03-28
021342902	CT 238 B AU-B	300	E170202-01-3-B	S-RD/L4-00208	2017-09-28	2018-03-28
021458303	CT 494-B AU-A	147	W170113-01-1-B	S-RO/L2-00888	2017-09-28	2018-03-28
021413401	CT 678-2 C AU-B	396	C170908-1-1-C	S-RF/L2-00349	2017-09-28	2018-03-28
021351401	CT 403 A AU-B	636	C161025-01-1-A	S-RG/L4-00381	2017-09-28	2018-03-28
021396202	CT 1112-S A AU-B	645	L170913-01-2-A	S-RA/L3-00033	2017-09-28	2018-03-28
021396302	CT 1112-S B AU-B	409	L170302-01-2-B	S-RA/L3-00034	2017-09-28	2018-03-28
021342802	CT 238 A AU-B	396	E170202-01-3-A	S-RD/L4-00207	2017-09-28	2018-03-28
021396402	CT 1112-S C AU-B	941	L170913-01-2-C	S-RA/L3-00035	2017-09-28	2018-03-28
021381101	CT 892-2A AU-B	-2852	D141006-03-1-A	S-RI/L5-00496	2017-09-28	2018-03-28
021614401	CT SMT-4103 AU-B	1026	F170824-1-1	S-RL/L3-00697	2017-09-28	2018-03-28
106502401	IC564-053-078#MO-2(100-299)	1	A20160326	blank	2016-03-28	2018-03-28
106511401	IC564-064-079#SD(100-299)	91	A20160326	 	2016-03-28	2018-03-28
106511301	IC564-064-079#LO(100-299)	91	A20160326	 	2016-03-28	2018-03-28
106511101	IC564-064-079#MO-1(100-299)	91	A20160326	 	2016-03-28	2018-03-28
106511201	IC564-064-079#MO-2(100-299)	91	A20160326	 	2016-03-28	2018-03-28
